描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
长春一诺_一汽红旗,SRTC-2C6054AL,中小型,190.0,握杆（铝）,4000.0,,ITS85,,水平,125,下,,YASKAWA,,联轴器型,铝,210,无,450.0,无,485.5,2进2出,100.0,,,,,,,,,,,,,
长春一诺_一汽红旗,SRTC-2C10978L,中小型,28.5,TIP BASE（G 型）,4000.0,型材,ITS85,,水平,125,下,,YASKAWA,,联轴器型,铝,210,有,35.0,无,250.0,2进2出,,,,,,,,,,,,,,
长春一诺_一汽红旗,SRTC-2C10790L,中小型,160.5,握杆（SBA）,4000.0,,ITS85,,水平,125,三维,,YASKAWA,,低压,铝,210,无,175.0,无,518.0,2进2出,74.0,,,,,,,,,,,,,
明升伟业_广州祥鑫,SRTC-2C11149L,中小型,180.0,握杆（SBA）,5500.0,,ITS85,,水平,125,上,,FANUC,,中空,铝,210,无,550.0,无,543.0,2进2出,74.0,,,,,,,,,,,,,
OIND_KML-Y17 kharkhoda,SRTC-S2C11339L,中小型,165.0,握杆（铝）,5880.0,,RT552,107.0,水平,125,右,,YASKAWA,1.0,联轴器型,铝,210,无,300.0,无,411.0,2进2出,144.0,,,,,,,,,,,,,
S-46130C 天津福臻-北京长安,SRTC-2C11340L,中小型,120.0,握杆（SBA）,4500.0,,DB6-100R1,90.0,水平,125-160,后,,KUKA,,中空,铝,210,,180.0,,267.0,1进1出,74.0,,,,,,,,,,,,,
S-46534C重庆通达_重庆强力,SRTC-2C11329L,中小型,176.5,握杆（SBA）,4500.0,,ITS85,110.0,水平,125,右,,KUKA,,,铝,210,,300.0,,4646.0,,100.0,,,,,,,,,,,,,
重庆衍数_杭州至信-A12,SRTC-S2C11159A,中小型,,握杆（铝）,,,RT752,,水平,125,下,,KUKA,,联轴器型,铝,210,,,,,,,,,,,,,,,,,,,
上海ABB-济南商用车,SRTC-C9494AL,中小型,140.5,握杆（SBA）,4500.0,,BOSCH,107.0,水平,125,右,,ABB,1.0,低压,铝,210,有,180.0,无,468.0,1进1出,124.0,,,,,,,,,,,,,
上海ABB-济南商用车,SRTC-C11265L,中小型,184.5,握杆（铝）,4500.0,,BOSCH,97.0,水平,125,上,,ABB,1.0,联轴器型,铝,210,有,365.0,无,783.0,1进1出,124.0,,,,,,,,,,,,,
上海ABB-济南商用车,SRTC-C11266L,中小型,187.5,握杆（SBA）,4500.0,,BOSCH,100.0,水平,125,右,,ABB,1.0,联轴器型,铝,210,有,180.0,无,488.5,1进1出,124.0,,,,,,,,,,,,,
重庆元谱_重庆多润-D5,SRTC-2C11311L,中小型,,握杆（铝）,,,ITS85,,竖直,125,右,,,,低压,铝,210,,400.0,,375.0,,154.0,,,,,,,,,,,,,
福州承昌_JX67项目,SRTC-2C10198L,中小型,,握杆（铝）,4900.0,,ITS85,,水平,125-160,右,,PANASONIC,2.0,联轴器型,铝,210,,500.0,,474.0,2进2出,120.0,,,,,,,,,,,,,
OFRA_FORD TURKEY-V710-2,SRTC-2C10547A,大型,,握杆（铝）,4000.0,,DB6-100R1,,水平,160,上,,KUKA,,中空,铝,310,,300.0,,546.0,1进1出,90.0,,,,,,,,,,,,,
OFRA_FORD TURKEY-V710-2,SRTC-2C10546,中小型,,握杆（铝）,4000.0,,DB6-100R1,,水平,160,右,,KUKA,,中空,铝,,,255.0,,456.0,1进1出,80.0,,,,,,,,,,,,,
广州博俊工业,SRTC-2C11098AL,中小型,114.5,TIP BASE（F 型）,4500.0,,ITS85,112.0,水平,125,右,0.0,FANUC,1.0,联轴器型,铝,160,有,160.0,无,265.5,1进1出,,,,,,,,,,,,,,
成都思尔特_北京长安,SRTC-2C11209L,中小型,160.0,握杆（SBA）,5000.0,,DB6-100R1,99.0,水平,160,后,15.0,多摩川,1.0,中空,SS400,210,无,200.0,无,348.0,2进2出,100.0,,,,,,,,,,,,,
成都思尔特_北京长安,SRTC-2C11202L,大型,265.5,GUN HEAD（?45）,5000.0,焊接,DB6-100R1,140.0,水平,160,前,45.0,YASKAWA,,中空,SS400,310,无,750.0,无,747.0,2进2出,124.0,,,,,,,,,,,,,
成都思尔特_北京长安,SRTC-2C11216L,中小型,,握杆（SBA）,,,DB6-100R1,,竖直,160,右,,,,中空,SS400,210,无,290.0,,453.0,,124.0,,,,,,,,,,,,,
重庆衍数_重庆至信,SRTC-S2C11299L,中小型,,握杆（铝）,,,RT752,,水平,125,上,,KUKA,2.0,联轴器型,铝,210,有,465.0,,530.0,,124.0,,,,,,,,,,,,,
武汉迈古瑞-开封高华,SRTC-5C11305L,中小型,,握杆（铝）,,,ITS85,,水平,125,右,25.0,FANUC,,联轴器型,铝,210,,300.0,,448.0,,104.0,,,,,,,,,,,,,
重庆博俊_重庆滕海,SRTC-2C7549AL,中小型,110.0,TIP BASE（F 型）,3500.0,,,110.0,水平,125,右,0.0,KUKA,1.0,低压,铝,210,无,250.0,无,349.0,1进1出,,,,,,,,,,,,,,
上海鑫燕隆_北汽越野车,SRTC-2C10157L,中小型,59.0,TIP BASE（G 型）,4500.0,,DB6-100R1,,水平,125-160,前,45.0,KUKA,,联轴器型,SS400,,,236.0,,195.0,1进1出,,,,,,,,,,,,,,
越南EBZ改造,SRTC-S2C5967B,中小型,,握杆（铝）,,,DB6-100R1,,水平,160,上,,ABB,,低压,铝,,无,332.0,无,483.0,1进1出,100.0,,,,,,,,,,,,,
柳州赛克_启顺启达-启达E线,SRTC-5C11287L,中小型,,握杆（铝）,,,ITS85,,水平,125-160,右,,YASKAWA,,联轴器型,铝,,有,650.0,,618.0,1进1出,104.0,,,,,,,,,,,,,
柳州赛克_启顺启达-启达E线,SRTC-5C11286L,中小型,,握杆（铝）,,,ITS85,,水平,125-160,右,,YASKAWA,,联轴器型,铝,,有,550.0,,618.0,1进1出,104.0,,,,,,,,,,,,,
柳州原电_上汽通用五菱-启顺,SRTC-5C11285L,中小型,,TIP BASE（F 型）,,,ITS85,,水平,125-160,右,,多摩川,,中空,铝,,,201.0,,218.0,1进1出,,80.0,下,,,,,,,,,,,
柳州原电_上汽通用五菱-启顺,SRTC-5C11278L,中小型,,握杆（铝）,,,ITS85,,水平,125-160,右,,多摩川,,中空,铝,,,300.0,,490.0,1进1出,104.0,,,,,,,,,,,,,
武汉东研智慧_吉利湘潭商用车,SRTC-2C10527AL,中小型,105.0,TIP BASE（G 型）,3000.0,,DB6-100R1,116.0,水平,160,右,0.0,YASKAWA,1.0,中空,铝,210,有,50.0,无,192.0,1进1出,,,,,,,,,,,,,,
重庆通达-重庆腾海,SRTC-2C11295L,中小型,,握杆（SBA）,,,ITS85,,水平,125,右,,,,高压,铝,130,,,,,,,60.0,下,,,,,,,,,,,
S-46314重庆腾海E111,SRTC-2C11280L,中小型,150.0,握杆（SBA）,3500.0,,ITS85,,水平,125,前,60.0,KUKA,,联轴器型,SS400,210,,240.0,,355.0,1进1出,,,,,,,,,,,,,,
