描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
O/IND-JBML-Y1K 180521-01,SRTX-2C8034L,中小型,150.0,,5880.0,,DB6-100R1,,水平,125,下,,,,联轴器型,铝,,,400.0,,230.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,70.0,246.0,160.0
O/IND-JBML-Y1K 180521-01,SRTX-2C8030L,中小型,145.0,,5880.0,,DB6-100R1,,水平,125,下,,,,联轴器型,铝,,,400.0,,230.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,70.0,246.0,160.0
O/IND-JBML-Y1K 180521-01,SRTX-2C8032L,中小型,150.0,,5880.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,410.0,,190.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,55.0,246.0,135.0
O/IND-JBML-Y1K 180521-01,SRTX-2C8070L,中小型,160.0,,5000.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,435.0,,355.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,45.0,296.0,310.0
O/IND Caparo-Y1k 180510-01,SRTX-2C8099L,中小型,200.0,,4410.0,,DB6-100R1,,水平,160,右,,,,联轴器型,铝,,,460.0,,345.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,125.0,256.0,220.0
O/IND Caparo-Y1k 180510-01,SRTX-2C8121L,中小型,148.0,,5880.0,,DB6-100R1,,水平,160,下,,,,联轴器型,铝,,,400.0,,345.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,145.0,246.0,200.0
O-FRA-土耳其福特GOLCUK C-18-06-1529,SRTX-2C8124L,大型,340.0,,3800.0,,DB6-100R1,,竖直,160,下,,,,中空,铝,,,1092.0,,905.0,,,,,,,,握杆（铝）,,握杆（铝）,425.0,986.0,410.0,986.0,495.0
O/IND-JBML-Y1K 180521-01,SRTX-2C8033L,中小型,185.0,,5290.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,500.0,,230.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,296.0,70.0,320.0,160.0
O/IND-JBML-Y1K 180521-01,SRTX-2C8048L,中小型,150.0,,5000.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,410.0,,355.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,45.0,296.0,310.0
宁波新众-四期手改自,SRTX-2C7948A,中小型,150.0,,4500.0,,DB6-100R1,,竖直,125,右,,,,联轴器型,铝,,,408.0,,240.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,40.0,306.0,200.0
宁波新众-四期手改自,SRTX-2C7948,中小型,150.0,,4500.0,,DB6-100R1,,竖直,125,下,,,,联轴器型,铝,,,408.0,,240.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,40.0,306.0,200.0
宁波新众-四期手改自,SRTX-2C7946,中小型,195.0,,4500.0,,DB6-100R1,,竖直,125,右,,,,联轴器型,铝,,,529.0,,290.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,256.0,85.0,326.0,205.0
O-IND-X451 171220-02,SRTX-2C8063,中小型,140.0,,3900.0,,DB6-100R1,,水平,125,下,,,,联轴器型,铝,,,380.0,,160.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,40.0,246.0,120.0
O/IND-JBML-Y1K 180521-01,SRTX-2C8035L,中小型,170.0,,5880.0,,DB6-100R1,,水平,125,后,,,,联轴器型,铝,,,450.0,,230.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,70.0,246.0,160.0
O/IND-JBML-Y1K 180521-01,SRTX-2C8031L,中小型,165.0,,5880.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,450.0,,230.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,70.0,246.0,160.0
O/IND-JBML-Y1K 180521-01,SRTX-2C8049L,中小型,165.0,,5880.0,,DB6-100R1,,水平,125,右,,,,联轴器型,SS400,,,450.0,,120.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,40.0,246.0,80.0
O/IND Caparo-Y1k 180510-01,SRTX-2C7980L,中小型,148.0,,6000.0,,DB6-100R1,,水平,160,右,,,,联轴器型,铝,,,400.0,,305.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,95.0,246.0,210.0
上海奥特伯格-上海安莱德,SRTX-2C7768L,大型,195.0,,3920.0,,DB6-100R1,,竖直,125,右,,,,折回,铝,,,620.0,,400.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,425.0,466.0,120.0,466.0,280.0
HIROTEC VINFAST VIETNAM,SRTX-2C8080L,大型,205.0,,5880.0,,DB6-100R1,,竖直,160,前,,,,联轴器型,铝,,,650.0,,465.0,,,,,,,,握杆（铝）,,握杆（铝）,425.0,466.0,220.0,466.0,245.0
O/IND Caparo-Y1k 180510-01,SRTX-2C7979L,中小型,149.0,,6000.0,,DB6-100R1,,水平,160,右,,,,联轴器型,铝,,,400.0,,305.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,125.0,246.0,180.0
O/IND Caparo-Y1k 180510-01,SRTX-2C7978L,中小型,148.0,,6000.0,,DB6-100R1,,水平,160,右,,,,联轴器型,铝,,,400.0,,305.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,125.0,246.0,180.0
上海闳城-长沙安莱德,SRTX-2C8046L,中小型,162.0,,4200.0,,DB6-100R1,,竖直,125,右,,,,折回,铝,,,440.0,,200.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,196.0,55.0,196.0,145.0
上海奥特博格-上海交运9B项目,SRTX-2C4910L,中小型,165.0,,4500.0,,DB6-100R1,,竖直,125,右,,,,折回,铝,,,470.0,,220.0,,,,,,,,握杆（SBA）,,握杆（SBA）,200.0,270.0,70.0,270.0,150.0
上海奥特博格-上海交运9B项目,SRTX-2C4907AL,中小型,190.0,,4500.0,,DB6-100R1,,竖直,125,右,,,,折回,铝,,,506.0,,310.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?45）,200.0,340.0,90.0,406.0,220.0
上海奥特博格-上海交运9B项目,SRTX-2C4907CL,中小型,220.0,,4500.0,,DB6-100R1,,竖直,125,右,,,,折回,SS400,,,586.0,,330.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,420.0,90.0,486.0,240.0
上海奥特博格-上海交运9B项目,SRTX-2C4911L,中小型,190.0,,4500.0,,DB6-100R1,,竖直,125,右,,,,,铝,,,536.0,,480.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,286.0,170.0,410.0,310.0
广州明珞-重庆众泰M12项目,SRTX-2C4857L,中小型,190.0,,4500.0,,ITS85,,水平,160,后,,,,联轴器型,SS400,,,520.0,,370.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,125.0,426.0,245.0
上海奥特博格-海斯坦普天津工厂,SRTX-2C5072CL,中小型,160.0,,5880.0,,DB6-100R1,,竖直,160,右,,,,中空,铝,,,450.0,,395.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,266.0,130.0,326.0,265.0
上海奥特博格-海斯坦普天津工厂,SRTX-2C5190BL,大型,195.0,,5880.0,,DB6-100R1,,竖直,160,后,,,,折回,SS400,,,616.0,,335.0,,,,,,,,握杆（铝）,,握杆（铝）,425.0,392.0,80.0,421.0,255.0
O-IND-JBM-AURANGABAD,SRTX-2C7982L,中小型,165.0,,4410.0,,DB6-100R1,,水平,160,右,,,,联轴器型,铝,,,440.0,,270.0,,,,,,,,握杆（铝）,,握杆（铝）,,246.0,125.0,246.0,145.0
上海翼锐-上海安莱德Tiguan,SRTX-2C3518L,大型,190.0,,3920.0,,DB6-100R1,,竖直,125,右,,,,联轴器型,铝,,,620.0,,400.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,425.0,466.0,120.0,466.0,280.0
上海翼锐-上海安莱德Tiguan,SRTX-2C3514L,中小型,205.0,,4000.0,,DB6-100R1,,竖直,125,右,,,,联轴器型,SS400,,,555.0,,390.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?50）,200.0,396.0,90.0,401.0,300.0
上海翼锐-上海安莱德Tiguan,SRTX-2C3551L,大型,280.0,,4000.0,,DB6-100R1,,竖直,125,右,,,,联轴器型,铝,,,900.0,,490.0,,,,,,,,GUN HEAD（?50）,,GUN HEAD（?50）,425.0,686.0,190.0,786.0,300.0
上海祈德-上海同舟Tiguan NF项目,SRTX-2C3414L,中小型,175.0,,3800.0,,DB6-100R1,,水平,125,右,,,,折回,铝,,,496.0,,215.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?45）,200.0,346.0,65.0,346.0,150.0
上海翼锐-上海安莱德Tiguan,SRTX-2C3522L,大型,220.0,,4000.0,,DB6-100R1,,竖直,125,前,,,,联轴器型,SS400,,,716.0,,530.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?45）,425.0,616.0,300.0,466.0,230.0
安徽瑞祥-东南汽车,SRTX-2C7781L,中小型,236.0,,3500.0,,ITS85,,竖直,125,下,,,,折回,铝,,,636.0,,450.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,426.0,160.0,456.0,290.0
上海荣成-海斯坦普-L551-Gestamp,SRTX-2C7834L,中小型,145.0,,6000.0,,DB6-100R1,,竖直,160,右,,,,折回,铝,,,396.0,,215.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,226.0,50.0,246.0,165.0
O/IND-JBM-Brake Pedal-180315-02,SRTX-2C7762L,中小型,186.0,,4000.0,,DB6-100R1,,水平,125,下,,,,联轴器型,铝,,,496.0,,230.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,296.0,70.0,320.0,160.0
O/IND Caparo-Y1k,SRTX-2C7745L,中小型,165.0,,4410.0,,DB6-100R1,,水平,160,右,,,,联轴器型,铝,,,450.0,,190.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,40.0,246.0,150.0
O/IND-SKN MANESAR-Y1K PJ,SRTX-2C7710L,中小型,170.0,,5500.0,,DB6-100R1,,竖直,125,右,,,,联轴器型,铝,,,455.0,,235.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,90.0,246.0,145.0
上海奥特博格-长安马自达,SRTX-2C7603L,中小型,160.0,,4500.0,,ITS85,,竖直,125,右,,,,中空,铝,,,435.0,,185.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,196.0,50.0,196.0,135.0
O/IND-SKN MANESAR-Y1K PJ,SRTX-2C7727L,中小型,160.0,,5000.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,430.0,,160.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,40.0,246.0,120.0
O/IND Caparo-Y1k,SRTX-2C7747L,中小型,197.0,,4410.0,,DB6-100R1,,水平,160,后,,,,联轴器型,铝,,,448.0,,280.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,60.0,296.0,220.0
O/IND Caparo-Y1k,SRTX-2C7749L,中小型,135.0,,4500.0,,DB6-100R1,,水平,160,右,,,,联轴器型,铝,,,370.0,,130.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,40.0,246.0,90.0
O/IN-180313-03P&180313-04P-RUCHA,SRTX-2C7737L,中小型,150.0,,4000.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,400.0,,140.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,60.0,315.0,80.0
昆山诺克-上海同舟-TiguanNF 产能提升,SRTX-2C7734L,大型,260.0,,4000.0,,DB6-100R1,,竖直,125,上,,,,折回,铝,,,818.0,,380.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?45）,425.0,686.0,170.0,686.0,210.0
O-IND  COMAU TATA  ULRTA SLEEPER,SRTX-S2C7970L,大型,385.0,,4500.0,,DB6-100R1,,竖直,125,后,,,,联轴器型,铝,,,1040.0,,592.5,,,,,,,,握杆（铝）,,握杆（铝）,,816.0,297.5,866.0,295.0
安徽瑞祥-东南汽车,SRTX-2C7781AL,中小型,236.0,,3500.0,,ITS85,,竖直,125,下,,,,折回,铝,,,636.0,,450.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,426.0,160.0,456.0,290.0
,SRTX-2C1605AL,中小型,250.0,,3432.0,,ITS85,,水平,125,上,,,,中空,铝,,,670.0,,270.0,,,,,,,,GUN HEAD（?45）,,GUN HEAD（?45）,200.0,470.0,150.0,470.0,120.0
O/IND Tata Asal X451,SRTX-2C7660L,中小型,185.0,,4410.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,498.0,,230.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,296.0,70.0,320.0,160.0
