描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
上汽通用五菱-河西东部D线前车体项目,SDZX-3C30301,大型,,,4500.0,,SMF-100,,竖直,125,上,,多摩川,,OBARA-中空,铝,160,无,1025.0,,710.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
上汽通用五菱-河西东部D线前车体项目,SDZX-3C30266,大型,,,4500.0,,SMF-100,,竖直,125,上,,多摩川,,OBARA-中空,铝,160,无,850.0,,710.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备_东风股份,SDZX-3C30362L,大型,335.0,,5000.0,,ITS85,,水平,160,下,,KUKA,,OBARA-中空,铝,160,有,954.0,无,680.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备_东风股份,SDZX-3C30358L,大型,175.0,,5000.0,,ITS85,,竖直,125,上,20.0,KUKA,,OBARA-中空,铝,160,无,504.0,无,200.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备_东风股份,SDZX-3C30357L,大型,155.0,,5000.0,,ITS85,,水平,125,上,60.0,KUKA,,OBARA-中空,铝,160,无,454.0,无,430.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备_东风股份,SDZX-3C30352L,小型,205.0,,4000.0,,ITS85,,水平,125,右,,FANUC,,OBARA-中空,铝,160,无,464.0,无,180.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备_东风股份,SDZX-3C30368L,小型,200.0,,4500.0,,ITS85,,水平,125,右,,KUKA,,OBARA-中空,铝,160,无,460.0,无,240.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备_东风股份,SDZX-3C30331L,小型,320.0,,3500.0,,ITS85,,水平,125,下,,KUKA,,OBARA-中空,铝,160,无,730.0,无,270.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备_东风股份,SDZX-3C30329L,小型,285.0,,4000.0,,ITS85,,水平,125,下,,KUKA,,OBARA-中空,铝,160,无,644.0,无,405.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
S-44037东风设备-东风股份,SDZX-3C30342AL,大型,175.0,,5000.0,,ITS85,,竖直,125,上,,KUKA,,OBARA-中空,铝,160,无,510.0,,215.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
S-44037东风设备-东风股份,SDZX-3C30342L,大型,175.0,,5000.0,,ITS85,112.0,竖直,160,上,,KUKA,,OBARA-中空,铝,160,有,510.0,,215.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备-东风股份,SDZX-3C30371L,大型,275.0,,4000.0,,ITS85,,竖直,125,下,0.0,KUKA,,OBARA-中空,铝,160,无,780.0,无,400.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
东风设备-东风股份,SDZX-3C30350L,大型,275.0,,4000.0,,ITS85,,竖直,160,下,0.0,KUKA,,OBARA-中空,铝,160,STAUBLI,780.0,无,400.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州永联_广汽本田,SDZX-3C30339L,小型,265.0,,4500.0,,ITS85,,水平,125,前,,YASKAWA,,OBARA-中空,铝,160,无,600.0,无,340.0,2进2出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广西原南_上汽通用五菱,SDZX-3C30324,小型,230.0,,3600.0,,SMF-100,103.0,水平,125,下,,其他,,OBARA-中空,铝,其他,无,524.0,无,430.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广西原南_上汽通用五菱,SDZX-3C30307L,大型,195.0,,5500.0,,SMF-100,,竖直,160,前,,其他,,OBARA-中空,SS400,160,有,570.0,无,110.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广州永联（北斗模拟）_广汽本田,SDZX-3C30239L,大型,180.0,,5000.0,,SMF-100,,水平,其他,右,,YASKAWA,,OBARA-中空,铝,160,有,515.0,无,470.0,2进2出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广西原南_上汽通用五菱,SDZX-3C30309L,大型,240.0,,5500.0,,SMF-100,119.0,竖直,125,前,,KUKA,,OBARA-中空,铝,其他,无,694.0,无,630.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
广西原南_上汽通用五菱,SDZX-3C30311,大型,255.0,,5500.0,,SMF-100,118.0,竖直,125,前,,多摩川,,OBARA-中空,铝,其他,无,734.0,无,460.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
赛克格丰项目,SDZX-3C30205,小型,,,,,SMF-100,,水平,125,右,,YASKAWA,,OBARA-中空,铝,160,无,479.0,,240.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
赛克天河730S项目,SDEX-3C30224,小型,,,,,SMF-100,,水平,125,上,,FANUC,,联轴器型,铝,160,无,464.0,,240.0,1进1出,,,,,,,握杆（?45）,,握杆（?45）,,,,,
